grnr,bcg_id,mass_log_msun,bcg_pos_x,bcg_pos_y,bcg_pos_z,halfmassrad_gas_ckpc_h,M_approx_msun,R_approx_kpc
0,0,15.413906794371913,175292.0,265235.0,451367.0,1176.67,2.594e+15,2198.3
1,23206,13.663774070847804,174061.0,263492.0,460510.0,646.131,4.611e+13,573.7
2,24687,14.172882383257038,179739.0,270246.0,448870.0,512.718,1.489e+14,848.0
3,25757,13.731191779477253,170166.0,251373.0,458452.0,341.433,5.385e+13,604.2
4,26830,14.123439779404155,183540.0,247652.0,453756.0,385.865,1.329e+14,816.5
5,27160,13.880461677484476,174030.0,269382.0,447044.0,404.7,7.594e+13,677.5
6,27523,13.706283518441458,174074.0,256497.0,456186.0,341.051,5.085e+13,592.8
7,28066,13.933525992417954,178365.0,277170.0,447188.0,438.668,8.581e+13,705.7
8,28454,13.84167751193127,166522.0,252991.0,457282.0,371.829,6.945e+13,657.7
9,28711,13.710075871562628,176793.0,269743.0,448559.0,330.345,5.130e+13,594.5
10,29138,13.595428524723848,175175.0,262183.0,456924.0,320.893,3.939e+13,544.4
11,29281,13.548164650699691,174493.0,265095.0,458402.0,324.047,3.533e+13,525.0
12,29511,13.609558492435252,172063.0,273217.0,442158.0,328.384,4.070e+13,550.4
13,29703,13.45881063821814,181979.0,263188.0,449765.0,361.586,2.876e+13,490.2
14,29974,13.417277720377745,169721.0,256014.0,450094.0,349.26,2.614e+13,474.8
15,30152,13.513708192427954,181662.0,277199.0,442094.0,302.397,3.264e+13,511.3
16,30275,14.16530952875661,184562.0,278400.0,442098.0,430.065,1.463e+14,843.1
17,30422,13.411808025100406,168098.0,252304.0,463740.0,312.224,2.581e+13,472.8
18,30539,13.609374135846588,174777.0,263770.0,462777.0,306.667,4.068e+13,550.3
19,30635,13.362582749431988,178636.0,268556.0,452100.0,304.161,2.305e+13,455.3
20,30727,13.756377337686635,166916.0,271940.0,438189.0,380.727,5.707e+13,616.0
21,30834,13.323548345648385,175858.0,252784.0,455004.0,276.255,2.106e+13,441.9
22,30951,13.259243484502294,167544.0,250949.0,453914.0,332.801,1.817e+13,420.6
23,31101,13.271708562394096,165161.0,267284.0,449338.0,266.186,1.869e+13,424.6
24,31164,13.188366673966232,181665.0,263334.0,441089.0,294.789,1.543e+13,398.3
25,31272,13.608583825251218,171667.0,266512.0,463179.0,974.614,4.061e+13,549.9
26,31355,13.20643784523038,164121.0,248469.0,455425.0,307.468,1.609e+13,403.9
27,31424,13.26439043193905,171738.0,261736.0,464624.0,588.248,1.838e+13,422.3
28,31520,13.58280320883377,174349.0,266802.0,461844.0,545.392,3.827e+13,539.2
29,31664,13.68297148063187,166610.0,242893.0,460883.0,367.053,4.819e+13,582.3
30,31732,13.257825901144608,175943.0,249268.0,455743.0,265.153,1.811e+13,420.1
31,31794,13.25164935459712,181764.0,247340.0,453341.0,278.055,1.785e+13,418.2
32,31876,13.265804165806014,175328.0,279641.0,429860.0,289.751,1.844e+13,422.7
33,31930,13.178907310167356,178158.0,254910.0,458840.0,295.673,1.510e+13,395.4
34,32014,13.29850305801773,173853.0,277054.0,435155.0,249.036,1.988e+13,433.5
35,32071,13.808553632345799,174603.0,269734.0,462144.0,291.127,6.435e+13,641.2
36,32131,13.930237278900561,175294.0,282453.0,427189.0,286.517,8.516e+13,703.9
37,32172,12.99086284074072,169538.0,251163.0,446839.0,252.285,9.792e+12,342.3
38,32304,12.892940385358122,174177.0,262624.0,457042.0,115.91,7.815e+12,317.5
39,32391,13.81901517573385,162961.0,245526.0,457565.0,294.645,6.592e+13,646.3
40,32455,13.154459105232647,166287.0,250895.0,453698.0,245.674,1.427e+13,388.1
41,32503,13.16454558804432,167543.0,253232.0,465633.0,258.244,1.461e+13,391.1
42,32554,12.968711072091384,157414.0,267181.0,450618.0,209.102,9.305e+12,336.5
43,32652,13.419874808727679,175583.0,276118.0,460612.0,280.714,2.630e+13,475.8
44,32740,13.121817475582876,178234.0,257518.0,456193.0,246.254,1.324e+13,378.5
45,32788,13.255596505838575,165820.0,267168.0,464070.0,246.075,1.801e+13,419.4
46,32845,13.863471258364557,186842.0,283045.0,437045.0,398.453,7.302e+13,668.8
47,32875,13.143249506551678,175627.0,244504.0,458622.0,275.034,1.391e+13,384.8
48,32923,13.128880033097536,177164.0,257442.0,461164.0,223.056,1.345e+13,380.6
49,32962,12.996486595377592,168337.0,246301.0,459801.0,230.009,9.919e+12,343.8
50,32994,12.977578485535531,168176.0,251762.0,449751.0,216.983,9.497e+12,338.8
51,33067,12.936563752871917,163316.0,269425.0,445312.0,196.945,8.641e+12,328.3
52,33093,12.788488186702306,176005.0,258804.0,453437.0,109.169,6.145e+12,293.1
53,33169,12.876461772681223,171726.0,271546.0,442681.0,128.073,7.524e+12,313.5
54,33211,12.846813763150159,171035.0,268509.0,445866.0,134.736,7.028e+12,306.5
55,33270,12.774494337385082,176705.0,267293.0,459625.0,243.89,5.950e+12,289.9
56,33337,12.903029076349629,175893.0,265802.0,448073.0,135.354,7.999e+12,320.0
57,33423,13.042542263618442,155462.0,262213.0,455938.0,249.977,1.103e+13,356.2
58,33459,13.140523908373273,163961.0,249777.0,455404.0,290.663,1.382e+13,384.0
59,33512,12.929541098399724,190109.0,270694.0,444747.0,194.434,8.502e+12,326.6
60,33527,12.793932809472693,179385.0,265516.0,444749.0,228.094,6.222e+12,294.3
61,33557,13.238534265524965,170978.0,285018.0,456316.0,235.96,1.732e+13,414.0
62,33589,13.008757280521282,180592.0,271084.0,446943.0,217.835,1.020e+13,347.0
63,33603,12.701003994493249,163210.0,261642.0,452280.0,149.722,5.023e+12,274.0
64,33641,12.81642429865741,172830.0,269728.0,447081.0,158.505,6.553e+12,299.4
65,33664,12.841795656157762,168872.0,259424.0,456748.0,228.373,6.947e+12,305.3
66,33699,12.960667913957694,178204.0,268503.0,458881.0,258.562,9.134e+12,334.5
67,33738,12.748090703291119,179197.0,253974.0,455365.0,121.345,5.599e+12,284.1
68,33792,13.170589948576454,192448.0,269692.0,441571.0,272.359,1.481e+13,392.9
69,33823,12.804828516790913,169739.0,259158.0,456021.0,240.602,6.380e+12,296.8
70,33861,12.763808077496623,177803.0,273086.0,445063.0,154.893,5.805e+12,287.6
71,33898,12.721740293165766,170191.0,268253.0,444803.0,214.603,5.269e+12,278.4
72,33925,12.7427167839156,177514.0,254130.0,453245.0,179.282,5.530e+12,282.9
73,33962,12.698691669215973,177789.0,255859.0,456329.0,129.391,4.997e+12,273.5
74,34006,12.723532502646542,178513.0,268539.0,458042.0,156.408,5.291e+12,278.8
75,34035,12.834876476078785,164972.0,248987.0,455752.0,169.07,6.837e+12,303.7
76,34071,12.608370621098267,178660.0,253179.0,458223.0,175.276,4.059e+12,255.2
77,34107,12.678929737308318,171275.0,271154.0,443577.0,114.397,4.775e+12,269.4
78,34128,12.508377612782018,171910.0,254761.0,456917.0,49.6232,3.224e+12,236.4
79,34175,12.519885322749992,159514.0,270783.0,458520.0,152.383,3.310e+12,238.5
80,34199,12.819226173653751,165867.0,260382.0,466794.0,179.939,6.595e+12,300.1
81,34224,12.716034165603348,179807.0,271301.0,457302.0,208.078,5.200e+12,277.2
82,34258,13.184531330903617,169771.0,247625.0,441481.0,47.2413,1.529e+13,397.2
83,34293,12.436608149299063,168751.0,262850.0,463404.0,109.413,2.733e+12,223.7
84,34334,12.608315328857806,176360.0,253575.0,454542.0,121.964,4.058e+12,255.2
85,34365,12.642862153654425,178555.0,269245.0,448488.0,47.4716,4.394e+12,262.1
86,34386,12.873094992681786,185534.0,253912.0,450277.0,217.496,7.466e+12,312.7
87,34415,12.598361051134692,174823.0,260121.0,460122.0,183.915,3.966e+12,253.3
88,34443,12.67162016575811,179629.0,249031.0,456070.0,202.813,4.695e+12,267.9
89,34481,12.83596939243668,172666.0,275722.0,436765.0,248.839,6.854e+12,303.9
90,34508,12.107223493055898,185504.0,265706.0,446866.0,67.7934,1.280e+12,173.7
