subhalo_id,grnr,halo_r200_kpc,mass_gas_1e10msun_h,mass_stars_1e10msun_h,pos_x_ckpc_h,pos_y_ckpc_h,pos_z_ckpc_h,halfmassrad_gas_ckpc_h,bcg_pos_x,bcg_pos_y,bcg_pos_z,cutout_url,sfr
4,0,2198.3,375.197,36.5581,172452.0,258445.0,454823.0,364.159,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/4/cutout.hdf5,0.2779
5,0,2198.3,0.081177,81.1085,175495.0,265966.0,450826.0,12.722,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/5/cutout.hdf5,0.0198
6,0,2198.3,22.1452,33.0849,175445.0,263760.0,449902.0,93.789,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/6/cutout.hdf5,0.0
8,0,2198.3,0.344554,36.1365,175791.0,260810.0,453092.0,69.123,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/8/cutout.hdf5,0.0146
9,0,2198.3,0.26311,50.1712,173430.0,264279.0,452243.0,26.274,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/9/cutout.hdf5,0.0
10,0,2198.3,7.68831,18.426,175636.0,267534.0,449509.0,108.83,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/10/cutout.hdf5,0.0
11,0,2198.3,0.003223,60.4221,173730.0,265937.0,449516.0,1.849,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/11/cutout.hdf5,0.0
13,0,2198.3,0.003215,32.4146,175158.0,267887.0,450379.0,22.849,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/13/cutout.hdf5,0.0
15,0,2198.3,2.79632,12.0795,177059.0,267254.0,450341.0,68.558,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/15/cutout.hdf5,0.0
16,0,2198.3,0.000525,47.8491,173157.0,260524.0,453128.0,0.0,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/16/cutout.hdf5,0.0
18,0,2198.3,3.9717,8.76711,175552.0,263616.0,451114.0,24.304,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/18/cutout.hdf5,2.5692
19,0,2198.3,1.11686,8.59824,174310.0,265990.0,449862.0,20.164,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/19/cutout.hdf5,0.0181
20,0,2198.3,8.53364,9.1368,172466.0,258359.0,454131.0,82.007,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/20/cutout.hdf5,0.5542
30,0,2198.3,2.12549,11.5281,175108.0,266472.0,450997.0,18.692,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/30/cutout.hdf5,0.0432
35,0,2198.3,1.39779,7.54087,175320.0,266109.0,449906.0,21.291,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/35/cutout.hdf5,0.1049
37,0,2198.3,0.188823,9.00269,173257.0,261122.0,452621.0,60.551,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/37/cutout.hdf5,0.0
41,0,2198.3,0.031513,4.28143,174299.0,267156.0,449362.0,16.334,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/41/cutout.hdf5,0.0
43,0,2198.3,4.65742,6.30377,174620.0,267494.0,449157.0,29.177,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/43/cutout.hdf5,0.0039
45,0,2198.3,0.918474,5.52962,174216.0,267445.0,450148.0,37.103,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/45/cutout.hdf5,0.0
46,0,2198.3,0.235502,16.2259,173642.0,260534.0,452746.0,4.996,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/46/cutout.hdf5,0.7907
49,0,2198.3,0.013457,3.67361,174907.0,260971.0,455838.0,286.814,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/49/cutout.hdf5,0.0
68,0,2198.3,0.417394,3.23051,174300.0,262212.0,455600.0,36.896,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/68/cutout.hdf5,0.0
75,0,2198.3,2.68731,3.25066,174645.0,264700.0,449097.0,22.865,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/75/cutout.hdf5,0.0277
81,0,2198.3,0.002204,4.49323,175645.0,266961.0,449310.0,57.566,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/81/cutout.hdf5,0.0
83,0,2198.3,3.62107,2.38092,175166.0,260454.0,456023.0,24.792,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/83/cutout.hdf5,1.4114
85,0,2198.3,3.1987,2.2758,176925.0,268066.0,450417.0,21.373,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/85/cutout.hdf5,0.7156
88,0,2198.3,2.78602,2.90929,175460.0,259903.0,455035.0,25.581,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/88/cutout.hdf5,0.8778
91,0,2198.3,0.61251,2.8255,174809.0,267294.0,451357.0,83.035,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/91/cutout.hdf5,0.0
95,0,2198.3,0.230845,2.45649,173243.0,266684.0,450519.0,28.643,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/95/cutout.hdf5,0.0
98,0,2198.3,4.62375,2.79415,177111.0,267139.0,450721.0,19.381,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/98/cutout.hdf5,2.9526
103,0,2198.3,0.039637,4.81717,176093.0,259840.0,454006.0,3.02,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/103/cutout.hdf5,0.0081
120,0,2198.3,0.689399,1.91646,176483.0,263989.0,454522.0,29.653,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/120/cutout.hdf5,0.0
128,0,2198.3,1.49989,1.44091,175439.0,260122.0,456180.0,47.419,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/128/cutout.hdf5,0.019
129,0,2198.3,2.89523,1.86998,174532.0,264357.0,453727.0,13.462,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/129/cutout.hdf5,1.4085
130,0,2198.3,3.84816,1.53544,175377.0,267910.0,449454.0,20.502,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/130/cutout.hdf5,1.3798
139,0,2198.3,1.34819,2.99301,172890.0,266450.0,450063.0,19.573,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/139/cutout.hdf5,0.0367
