subhalo_id,grnr,axis,image_path,aperture_kpc,size_factor,signal_fraction,dynamic_range_dex,asymmetry_score,passed_qc,error
25758,3,z,output/images/halo000003_sub0025758_z.png,200.0,0.33102,1.0,0.932,0.1215,True,
25760,3,z,output/images/halo000003_sub0025760_z.png,200.0,0.33102,1.0,0.617,0.1695,True,
25761,3,z,output/images/halo000003_sub0025761_z.png,200.0,0.33102,1.0,0.597,0.1626,True,
25759,3,z,output/images/halo000003_sub0025759_z.png,200.0,0.33102,1.0,0.929,0.1108,True,
25764,3,z,output/images/halo000003_sub0025764_z.png,200.0,0.33102,1.0,0.588,0.225,True,
25762,3,z,output/images/halo000003_sub0025762_z.png,200.0,0.33102,1.0,0.932,0.1632,True,
25765,3,z,output/images/halo000003_sub0025765_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25766,3,z,output/images/halo000003_sub0025766_z.png,200.0,0.33102,1.0,0.608,-0.0017,True,
25769,3,z,output/images/halo000003_sub0025769_z.png,200.0,0.33102,1.0,0.614,0.1694,True,
25767,3,z,output/images/halo000003_sub0025767_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25768,3,z,output/images/halo000003_sub0025768_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25770,3,z,output/images/halo000003_sub0025770_z.png,200.0,0.33102,1.0,0.599,0.1278,True,
25771,3,z,output/images/halo000003_sub0025771_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25772,3,z,output/images/halo000003_sub0025772_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25773,3,z,output/images/halo000003_sub0025773_z.png,200.0,0.33102,1.0,0.932,0.1125,True,
25774,3,z,output/images/halo000003_sub0025774_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25775,3,z,output/images/halo000003_sub0025775_z.png,200.0,0.33102,1.0,0.604,0.0735,True,
25776,3,z,output/images/halo000003_sub0025776_z.png,200.0,0.33102,1.0,0.932,0.0368,True,
25777,3,z,output/images/halo000003_sub0025777_z.png,200.0,0.33102,1.0,0.597,0.077,True,
25779,3,z,output/images/halo000003_sub0025779_z.png,200.0,0.33102,1.0,0.608,0.0605,True,
25778,3,z,output/images/halo000003_sub0025778_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25781,3,z,output/images/halo000003_sub0025781_z.png,200.0,0.33102,1.0,0.932,0.005,True,
25780,3,z,output/images/halo000003_sub0025780_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25782,3,z,output/images/halo000003_sub0025782_z.png,200.0,0.33102,1.0,0.932,0.0292,True,
25783,3,z,output/images/halo000003_sub0025783_z.png,200.0,0.33102,1.0,0.597,0.0251,True,
25784,3,z,output/images/halo000003_sub0025784_z.png,200.0,0.33102,1.0,0.932,0.0954,True,
25785,3,z,output/images/halo000003_sub0025785_z.png,200.0,0.33102,1.0,0.932,0.0473,True,
25786,3,z,output/images/halo000003_sub0025786_z.png,200.0,0.33102,1.0,0.597,0.0852,True,
25787,3,z,output/images/halo000003_sub0025787_z.png,200.0,0.33102,1.0,0.932,0.1045,True,
25763,3,z,,,,,,,False,download_failed
25788,3,z,output/images/halo000003_sub0025788_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25790,3,z,output/images/halo000003_sub0025790_z.png,200.0,0.33102,1.0,0.612,0.0663,True,
25789,3,z,output/images/halo000003_sub0025789_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25791,3,z,output/images/halo000003_sub0025791_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25792,3,z,output/images/halo000003_sub0025792_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25794,3,z,output/images/halo000003_sub0025794_z.png,200.0,0.33102,1.0,0.932,0.02,True,
25795,3,z,output/images/halo000003_sub0025795_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25796,3,z,output/images/halo000003_sub0025796_z.png,200.0,0.33102,1.0,0.608,0.0478,True,
25797,3,z,output/images/halo000003_sub0025797_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25799,3,z,output/images/halo000003_sub0025799_z.png,200.0,0.33102,1.0,0.932,0.079,True,
25798,3,z,output/images/halo000003_sub0025798_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25802,3,z,output/images/halo000003_sub0025802_z.png,200.0,0.33102,1.0,0.609,0.0156,True,
25800,3,z,output/images/halo000003_sub0025800_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25804,3,z,output/images/halo000003_sub0025804_z.png,200.0,0.33102,1.0,0.932,0.0433,True,
25805,3,z,output/images/halo000003_sub0025805_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25806,3,z,output/images/halo000003_sub0025806_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25807,3,z,output/images/halo000003_sub0025807_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25793,3,z,,,,,,,False,download_failed
25808,3,z,output/images/halo000003_sub0025808_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25809,3,z,output/images/halo000003_sub0025809_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25810,3,z,output/images/halo000003_sub0025810_z.png,200.0,0.33102,1.0,0.932,0.016,True,
25812,3,z,output/images/halo000003_sub0025812_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25811,3,z,output/images/halo000003_sub0025811_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25801,3,z,,,,,,,False,download_failed
25803,3,z,,,,,,,False,download_failed
25813,3,z,output/images/halo000003_sub0025813_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25814,3,z,output/images/halo000003_sub0025814_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25815,3,z,output/images/halo000003_sub0025815_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25817,3,z,output/images/halo000003_sub0025817_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25818,3,z,output/images/halo000003_sub0025818_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25819,3,z,output/images/halo000003_sub0025819_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25820,3,z,output/images/halo000003_sub0025820_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25821,3,z,output/images/halo000003_sub0025821_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
25823,3,z,output/images/halo000003_sub0025823_z.png,200.0,0.33102,1.0,0.116,0.0003,True,
